ACCE_ABSORB_CHANCE	Absorption rate: %d%%
EQUIPMENT_ALREADY_USE_ITEM	No puede volver a usarse.
EQUIPMENT_CANNOT_ADDITIONAL_EQUIPMENT_PAGE	No puedes cambiar la página de equipamiento mientras estás ocupado haciendo otra cosa.
EQUIPMENT_CANNOT_ADDITIONAL_EQUIPMENT_PAGE_ITEM	No puedes cambiar de página de equipamiento mientras tengas equipado un objeto no permitido.
EQUIPMENT_CHANGE_PAGE_COOLTIME_FAIL	Vuelve a intentarlo en 1 minuto.
EQUIPMENT_CHANGE_PAGE_SUCCESS	Se ha cambiado la página de equipamiento.
EQUIPMENT_TITLE_NAME	Ventana de equipamiento
EVENT_MANAGER_DURATION	Start: %s ~ End: %s
EVENT_MANAGER_DROP_TYPE	Drop-Type: %s
EVENT_MANAGER_DROP_TYPE_NONE	None
EVENT_MANAGER_DROP_TYPE_GENERAL	All mobs
EVENT_MANAGER_DROP_TYPE_BOSS_AND_MORE	Metinstone & Bosses
EVENT_MANAGER_DROP_TYPE_BOSS	Bosses
EVENT_MANAGER_DROP_TYPE_STONE	Metinstone
EXCHANGE_ALERT	Are you sure you want to exchange items for free?
EXCHANGE_CANNOT_GIVE	Este objeto no puede ser comerciado.
EXCHANGE_CANT_EDIT_MONEY	No puedes cambiar ahora la suma.
EXCHANGE_FAILURE_EQUIP_ITEM	No puedes intercambiar los objetos que te has equipado.
EXCHANGE_MONEY	Suma
EXCHANGE_OWNER_ACCEPT	%s You accepted the deal.
EXCHANGE_OWNER_ADD	%s You added [%s]
EXCHANGE_OWNER_ADD_ATT	%s You added |cffffc700|H|h[%s]|h|r
EXCHANGE_OWNER_ADD_COUNT	%s You added %sx [%s]
EXCHANGE_OWNER_ADD_COUNT_ATT	%s You added %sx |cffffc700|H|h[%s]|h|r
EXCHANGE_OWNER_YANG	%s You raised the amount of Yang to |cffb8ff00|H|h%s|h|r
EXCHANGE_START	%s Trade has begun.
EXCHANGE_TARGET_ADD	%s %s added [%s]
EXCHANGE_TARGET_ADD_ATT	%s %s added |cffffc700|H|h[%s]|h|r
EXCHANGE_TARGET_ADD_COUNT	%s %s added %sx [%s]
EXCHANGE_TARGET_ADD_COUNT_ATT	%s %s added %sx |cffffc700|H|h[%s]|h|r
EXCHANGE_TARGET_ACCEPT	%s %s accepted the deal.
EXCHANGE_TARGET_YANG	%s %s raised the amount of Yang to |cffb8ff00|H|h%s|h|r
EXCHANGE_TITLE	Trade with %s
EXCHANGE_TITLE_LEVEL	Trade with %s (%d)
EXTENDED_BATTLE_PASS_ITS_NOT_BATTLEPASS_ITEM	You need a ticket for Premium Battle-Pass.
EXTENDED_BATTLE_PASS_RANKLIST_REFRESH	The ranking list has been updated.
EXTENDED_BATTLE_PASS_RANKLIST_WAIT_TO_REFRESH	You still have to wait %d seconds to update the ranking again.
FISHGAME_TITLE	Fish
EXCHANGE_TITLE	Comerciar con %s (%d)
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	Todavía necesitas %d Ampliación(es) de inventario más.
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Tu inventario ha alcanzado el número máximo de ampliaciones.
EXINVEN_USE_ITEM_QUESTION	¿Quieres agrandar tu inventario con %d Ampliaciones de inventario?
FAILED_WARP_MAP_CHECK	No puedes utilizar esto.
FISHING_FAILURE	Perdiste el cebo.
FISHING_NOTIFY1	Parece que hay %s enganchado.
FISHING_NOTIFY2	Parece que %s ha sido capturado.
FISHING_RENEWAL_CANNOT_EMOTION	No puedes expresar emociones mientras estás pescando.
FISHING_RENEWAL_CANNOT_OPEN_1	No se puede abrir mientras estás pescando.
FISHING_RENEWAL_CANNOT_OPEN_2	No puedes llevar a cabo esta acción mientras estás pescando.
FISHING_RENEWAL_QUESTION	Un pez ha mordido el anzuelo. ¿Quieres pescarlo?
FISHING_RENEWAL_TIMEOUT	Has tardado demasiado en decidir. El pez se ha escapado.
FISHING_SUCCESS1	¡Has capturado %s!
FISHING_SUCCESS2	¡Has sacado a %s del agua!
FISHING_UNKNOWN	Algo ha mordido el cebo, pero no puedes ver qué es.
FISHING_WRONG_PLACE	No puedes pescar aquí.
FLOWER_EVENT_ENVELOPE_MAX	Ya no puedes conseguir más Semillas florales.
FLOWER_EVENT_GET_SHOOT_CHRYSANTHEMUM	Has recibido Retoños de crisantemo.
FLOWER_EVENT_GET_SHOOT_CHRYSANTHEMUM_COUNT	Has recibido %d Retoños de crisantemo.
FLOWER_EVENT_GET_SHOOT_DAFFODIL	Has recibido Retoños de narciso.
FLOWER_EVENT_GET_SHOOT_DAFFODIL_COUNT	Has recibido %d Retoños de narciso.
FLOWER_EVENT_GET_SHOOT_ENVELOPE	Has recibido Semillas florales.
FLOWER_EVENT_GET_SHOOT_LILY	Has recibido Retoños de azucena.
FLOWER_EVENT_GET_SHOOT_LILY_COUNT	Has recibido %d Retoños de azucena.
FLOWER_EVENT_GET_SHOOT_MAY_BELL	Has recibido Retoños de lirio.
FLOWER_EVENT_GET_SHOOT_MAY_BELL_COUNT	Has recibido %d Retoños de lirio.
FLOWER_EVENT_GET_SHOOT_SUNFLOWER	Has recibido Retoños de girasol.
FLOWER_EVENT_GET_SHOOT_SUNFLOWER_COUNT	Has recibido %d Retoños de girasol.
FLOWER_EVENT_ITEM_FULL_AND_NOT_USE	No se puede cambiar porque ya tienes la cantidad máxima de Retoños.
FLOWER_EVENT_NOT_ENOUGH_EVENTORY_SPACE	No tienes suficiente espacio en tu inventario.
FLOWER_EVENT_NOT_ENOUGH_SHOOT_COUNT	No tienes suficientes Retoños.
FLOWER_EVENT_NOT_ENOUGH_SHOOT_ENVELOPE	No tienes suficientes Semillas florales.
FLOWER_EVENT_USE_ITEM_TEXT1	¿Quieres sustituir el efecto activado?
FLOWER_EVENT_USE_ITEM_TEXT2	El intento puede fallar, en cuyo caso la flor se marchita.
FOOTBALL_EVENT_MESSAGE_BUTTON_COOLTIME	Inténtalo de nuevo más tarde.
FOOTBALL_EVENT_MESSAGE_CANNOT_GET_FOOTBALL	Ya no puedes conseguir más Pelotas de fútbol.
FOOTBALL_EVENT_MESSAGE_GET_FOOTBALL	Has conseguido 1 Pelota de fútbol.
FOOTBALL_EVENT_MESSAGE_NOT_ENOUGH_FOOTBALL	No tienes suficientes Pelotas de fútbol.
FOOTBALL_EVENT_MESSAGE_NOT_ENOUGH_INVENTORY	No hay suficiente espacio en tu inventario.
FORCE_EVENT_CANNOT_OPEN_UI	El evento "Ecos del pasado" ha finalizado.
FORCE_EVENT_CAN_USE_BUTTON	¡Tu eco es lo suficientemente fuerte como para activarlo!
FORCE_EVENT_EMPTY_NORMAL_FORCE_SLOT_TOOLTIP	Puedes elegir tu Eco de fuerza arrastrándolo desde el inventario.
FORCE_EVENT_EMPTY_SKILL_FORCE_SLOT_TOOLTIP	Puedes elegir tu Eco de poder arrastrándolo desde el inventario.
FORCE_EVENT_END_NOTICE	El evento "Ecos del pasado" ha finalizado.
FORCE_EVENT_FORCE_CHANGE_BUFF	Ya has elegido un eco. ¿Quieres cambiarlo?
FORCE_EVENT_FORCE_GAGUE_REMAIN_TIME	%d / %d minutos
FORCE_EVENT_FORCE_GAUGE_REFINE_TOOLTIP	Tu eco gana fuerza.
FORCE_EVENT_FORCE_NOTICE_CAN_USE_FORCE_BUFF	%s se puede activar. Mira en el menú correspondiente.
FORCE_EVENT_FORCE_REGISTER_TOOLTIP_1	¿Quieres seleccionar %s?
FORCE_EVENT_FORCE_REGISTER_TOOLTIP_2	Si cambias el eco seleccionado, se restaurará el tiempo de juego.
FORCE_EVENT_FORCE_SLOT_REMAIN_TIME	Tiempo restante:
FORCE_EVENT_INVALIED_SLOT_ITEM	Este eco se debe activar en otra casilla.
FORCE_EVENT_NOTICE_REMAIN_PLAY_TIME	Tu %s seleccionado ha alcanzado %d / %d.
FORCE_EVENT_NOT_ENOUGH_FORCE_CANNOT_USE_BUTTON	Tu eco aún no es lo suficientemente fuerte como para utilizarlo.
FORCE_EVENT_NOT_ENOUGH_LEVEL	Para participar, tienes que haber subido al menos al nivel 70.
FORCE_EVENT_READY_TO_USE_FORCE_BUFF	%s se puede activar. Mira en el menú de eco.
FORCE_EVENT_REMOVE_REGIST_FORCE	¿Retirar el eco elegido? Al hacerlo, el tiempo de juego se restablecerá y se destruirá el eco.
FORCE_EVENT_START_NOTICE	El evento "Ecos del pasado" ha comenzado.
FOR_FEMALE	para mujer
FOR_MALE	para hombre
FRAGMENT_COMB_COST	Costes de combinación: %s
FREEZING_BUTTON_COOLTIME	Inténtalo de nuevo más tarde.
GAME_CANNOT_MINING	No puedes extraer minerales mientras estés cabalgando.
GAME_CANNOT_PICK_ITEM	No puedes recoger este objeto ya que no lo ganaste.
GAME_GUILDWAR_NOW_JOIN	¿Quieres entrar en la guerra de gremios?
GAME_INIT_ERROR_CURSOR	El cursor no pudo ser establecido.
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 debe estar instalado para que este juego pueda arrancar.\nInstala DirectX 8.1 o superior.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	No se ha encontrado ningún dispositivo gráfico.\nRevisa si tu tarjeta VGA está instalada correctamente.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	El dispositivo gráfico no está establecido.\nRevisa si tienes tarjeta VGA.\nAlternativamente, puedes activar el hardware acelerador.\n(Fija el hardware acelerador al máximo. \nPanel de Control->Pantalla->Configuración->Avanzado->Registro de tarjeta.)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	La tarjeta gráfica del ordenador no soporta el modo de ventana al modo 32bit.\nCambialo al modo 16bit o a Modo Pantalla Completa.
GAME_INIT_ERROR_ITEM_PROTO	No existen datos de objetos.\nInstala el juego de nuevo.
GAME_INIT_ERROR_MAIN_WINDOW	El servidor no pudo ser establecido
GAME_INIT_ERROR_MOB_PROTO	No existen datos de monstruos.\nInstala el juego de nuevo.
GAME_INIT_ERROR_NETWORK	No pudieron establecerse dispositivos de red.\nRevisa tu conexión a internet.
GAME_OPTION_GAME	Juego
GAME_OPTION_KEYCHANGE_SAVE_OPTION	Selecciona para guardar la configuración de teclado para este personaje.
GAME_OPTION_KEYSETTING	Configuración de teclado
GAME_OPTION_KEYSETTING_CHECK_KEY	Hay una función que no tiene asignada ninguna configuración de teclado.
GAME_OPTION_KEYSETTING_KEY_CHANGE_CHECK	Esta tecla ya se está utilizando para %s. ¿Quieres modificarlo?
GAME_OPTION_KEYSETTING_KEY_INIT_NOTICE	Se ha restablecido %s. Vuelve a seleccionar.
GAME_OPTION_LOOTING	Botín
GAME_OPTION_SYSTEM	Sistema
GAME_OPTION_SYSTEM_DROP_YANG_CHECK_TOOLTIP	Se muestran los Yang si esta opción se selecciona, y se ocultan si se deselecciona.
GAME_OPTION_SYSTEM_STRUCTURE_TOOLTIP	Esconder decoración
GAME_PICK_MONEY	Has obtenido %s Yang.
GAME_USE_MONEY	Se ha gastado una cantidad de %s Yang.
GEM_CONVERTER_MESSAGE_CONVERT_SUCCESS_CONVERTER	Has usado %d Transformadores de Gaya.
GEM_CONVERTER_MESSAGE_CONVERT_SUCCESS_GEM_STONE	Se han utilizado %d Gemas.
GEM_CONVERTER_MESSAGE_GEM_MAX	Ya tienes la cantidad máxima de Gaya.
GEM_CONVERTER_MESSAGE_NOT_ENOUGH_GEMSTONE	Necesitas al menos %s Gemas.
GEM_CONVERTER_MESSAGE_NOT_ENOUGH_GOLD	No tienes suficiente Yang.
GEM_CONVERTER_MESSAGE_USE_CONVERTER_QUESTION	¿Quieres usar el Transformador de Gaya?
GEM_SYSTEM_ADD_SLOT	Objeto necesario: %s.\n¿Quieres usar %d para abrir un espacio más?
GEM_SYSTEM_BUY_ITEM	¿Quieres comprar este objeto?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] No tienes suficientes "Restaurar Mercado Gaya".
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] No tienes suficiente Gaya.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] No se pueden añadir más espacios.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Primero abre el Mercado de Gaya.
GEM_SYSTEM_PICK_GEM	Has obtenido %s Gaya.
GEM_SYSTEM_REFRESH_SHOP_ITEMS	¿Quieres restablecer?
GEM_USE_GEM	Se ha gastado una cantidad de %s Gaya.
GIVEUP_QUESTION	¿Seguro que quieres abandonar?
GOLDEN_LAND_CHAT_MESSAGE_CANNOT_USE_FRUIT_BOX_EVENT_CLOSED	No puedes utilizar este objeto porque el evento ya ha pasado.
GOLDEN_LAND_CHAT_MESSAGE_CANNOT_USE_MINE_TOWER_SKILL_PROCESSING	No se puede utilizar si ya se ha activado un Polvorín.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_CLEAR	¡Has encontrado todo todos los campos de Frutos dorados! Recibirás la recompensa en el buzón.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_GOLDEN_FRUIT_FOUND	¡Has encontrado un campo de Frutos dorados!
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_GOLDEN_FRUIT_NOT_FOUND	Vaya, no era un campo de Frutos dorados.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_NOT_ENOUGH_YELLOW_FRUIT	No tienes suficientes Frutos dorados.
GOLDEN_LAND_CHAT_MESSAGE_MINE_TOWER_GUARD_CREATED	La protección está activada. No te preocupes por el próximo Polvorín.
GOLDEN_LAND_CHAT_MESSAGE_MINE_TOWER_SKILL_GUARDED	La protección ya se ha acabado. Los Polvorines vuelven a hacerte daño.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_BATTLE_STAGE_START	Se te teletransportará al siguiente nivel.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_DUNGEON_REMAIN_TIME_MIN	Puedes quedarte otros %d minutos en la Tierra Dorada.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_END	La expedición de Primordis ha finalizado.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_START	¡La expedición de Primordis ha comenzado! ¡Derrota al Guardia de Primordis y viaja a la Tierra Dorada!
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_SHOP	El Mercader ambulante vende objetos.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_STAGE_START	Se te teletransportará al oasis.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_STONE_SPAWN_AFTER_10SEC	Las Estatuas de Primordis aparecerán en 10 segundos.
GOLDEN_LAND_CHAT_MESSAGE_NOT_ENOUGH_LEVEL	No puedes utilizar este objeto porque tu nivel es demasiado bajo.
GOLDEN_LAND_CHAT_MESSAGE_RESET_ALREADY_RESET	Ya se ha restaurado.
GOLDEN_LAND_CHAT_MESSAGE_RESET_NOT_ENOUGH_ITEM	No tienes ningún Reinicio de Primordis.
GOLDEN_LAND_CHAT_MESSAGE_RESET_SUCCESS	Se han restaurado correctamente los accesos y el tablero.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_INVENTORY_SPACE	No tienes suficiente espacio en el inventario.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_TREE_FRUIT	No tienes suficientes Frutos ácidos.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_YELLOW_FRUIT_EXCEED	No puedes adquirir más Frutos dorados porque ya tienes la cantidad máxima.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED	Recibes %d Frutos ácidos.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED_WITH_POSSESS_INFO	Recibes %d Frutos ácidos. (Tienes %d Frutos ácidos).
GOLDEN_LAND_CHAT_MESSAGE_YELLOW_FRUIT_GAINED	Recibes %d Frutos dorados.
GOLDEN_LAND_FIND_CARD_QUESTION_OPEN_CARD	¿Quieres destapar un campo por %d Frutos dorados?
GOLDEN_LAND_FIND_CARD_QUESTION_RESET	Al utilizarlo, restaurarás tus accesos a la Tierra Dorada y el tablero de Buscafrutos Dorados. ¿Deseas continuar?
GOLDEN_LAND_REMAIN_MINE_TOWER_KILL_COUNT	Polvorines restantes: %d
GOLDEN_LAND_REMAIN_STONE_KILL_COUNT	Estatuas de Primordis restantes: %d
GUILDBANK_CLEARBANK	Atención: ¡el almacén del gremio tiene que estar vacío!
GUILDBANK_DONT_MONEY_OUT	¡No tienes Yang en el banco del gremio!
GUILDBANK_GOLD_IN	Depósito
GUILDBANK_GOLD_OUT	Extracción
GUILDBANK_ITEM_IN	Almacenar
GUILDBANK_ITEM_OUT	Retirar
GUILDBANK_MONEYIN	Depositar Yang
GUILDBANK_MONEYOUT	Extraer Yang
GUILDBANK_NOTUSE	Te faltan derechos para hacer esto.
GUILDBANK_NOT_ENOUGH_MONEY	No tienes suficiente Yang para hacer el depósito.
GUILDBANK_OVER_INCOME	Se ha llegado al límite de cuenta.
GUILDBANK_OVER_MONEY	La cuenta del gremio está llena.
GUILDLAND_ABANDON	Abandonar terreno del gremio
GUILDLAND_ABANDON_TEXT1	¿Quieres abandonar el terreno del gremio?
GUILDLAND_ABANDON_TEXT2	¿Seguro que quieres abandonar el terreno del gremio?
GUILDLAND_ABANDON_TEXT3	Se eliminará el almacén del gremio y todos los edificios.
GUILDLAND_ACCEPT	Sí
GUILDLAND_DONTHAVE_LAND	No tienes ningún terreno del gremio.
GUILDLAND_NOT	No
GUILDLIST_APPLICANT	¿Quieres presentar tu candidatura?
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	La altura no es de 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	El ancho no es de 16 Pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	El ancho no es de 64 Pixel
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	La altura no es de 128 Pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	El juego no soporta esta imagen.
GUILDMARK_UPLOADER_ERROR_PATH	Mueve los datos a la carpeta metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	No se seleccionó una carpeta de imágenes.
GUILDWAR_ALL	Luchas (L)
GUILDWAR_CTF_TITLE	Lucha por bandera
GUILDWAR_DRAW	Empate (E)
GUILDWAR_GAINSCORE_FIFTY	50 puntos
GUILDWAR_GAINSCORE_HUNDRED	100 puntos
GUILDWAR_GAINSCORE_THIRTY	30 puntos
GUILDWAR_GAMETIME_SIXTY	60 minutos
GUILDWAR_GAMETIME_TEN	10 minutos
GUILDWAR_GAMETIME_THIRTY	30 minutos
GUILDWAR_INPUT_OTHERGUILD	Por favor, introduce el gremio enemigo.
GUILDWAR_LADDER	Puntos de clasificación
GUILDWAR_LIMIT_MEMBER_FIVE	La cantidad mínima de participantes es de 5.
GUILDWAR_LOSE	Derrotas (D)
GUILDWAR_NORMAL_TITLE	Batalla de campo
GUILDWAR_OVER_MEMBERCOUNT	Has alcanzado el límite de miembros.
GUILDWAR_QUESTION_LINE_1	El gremio %s le ha declarado la guerra a tu gremio.
GUILDWAR_QUESTION_LINE_2	¿Aceptas? (%s)
GUILDWAR_RANKING	Clasificación
GUILDWAR_RECODE_ALL	%d L, %d V, %d D, %d E
GUILDWAR_SELECT_MEMBER_COUNT	Elige la cantidad de participantes.
GUILDWAR_TYPE_DEFENSE	Lucha de escudos
GUILDWAR_TYPE_TIGER	Lucha de destrucción
GUILDWAR_TYPE_TIME	Ataque temporal
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Guerra en la arena
GUILDWAR_WIN	Victorias (V)
GUILDWAR_WIN_FIVE	Cinco rondas
GUILDWAR_WIN_ONE	Una ronda
GUILDWAR_WIN_THREE	Tres rondas
GUILDWINDOW_BUTTON_BANKGOLDINFO	Registro del almacén del gremio
GUILDWINDOW_BUTTON_BASEABANDON	Abandonar terreno del gremio
GUILDWINDOW_BUTTON_BASEDEAL	Vender terreno del gremio
GUILDWINDOW_BUTTON_BOARD	Notas del gremio
GUILDWINDOW_BUTTON_CHANGEMASTER	Cambiar de líder del gremio
GUILDWINDOW_BUTTON_DECLARE	Declaración de guerra
GUILDWINDOW_BUTTON_DONATE	Donar
GUILDWINDOW_BUTTON_GOLDIN	Depósito
GUILDWINDOW_BUTTON_GOLDOUT	Extracción
GUILDWINDOW_BUTTON_GRADE	Administración de derechos
GUILDWINDOW_BUTTON_GUILDLIST	Lista de gremios
GUILDWINDOW_BUTTON_GUILD_BATTLE	Batalla Gremial
GUILDWINDOW_BUTTON_GUILD_CONTENTS_LIST	Volver a la ventana de la Batalla Gremial
GUILDWINDOW_BUTTON_HEALGSP	Restablecer Fuerza dragón
GUILDWINDOW_BUTTON_INFO	Información del gremio
GUILDWINDOW_BUTTON_LANDINFO	Información del terreno
GUILDWINDOW_BUTTON_MARK	Subir símbolo de gremio
GUILDWINDOW_BUTTON_MEMBER	Miembros
GUILDWINDOW_BUTTON_OFFER	Donar EXP
GUILDWINDOW_BUTTON_OUTMEMBER	Expulsar miembro
GUILDWINDOW_BUTTON_SKILL	Habilidades del gremio
GUILDWINDOW_BUTTON_SYMBOL	Subir bandera del gremio
GUILDWINDOW_BUY_GUILD_LAND	Compra de terreno
GUILDWINDOW_CHANGE_BLACKSMITH	Cambiar profesión
GUILDWINDOW_CHANGE_OBJECT	Modificación
GUILDWINDOW_CHANGE_SMELTER	Modificación de horno
GUILDWINDOW_CREATE_OBJECT	Construcción de edificios
GUILDWINDOW_DEAL_GUILD_LAND	Venta de terreno
GUILDWINDOW_GRADE_BANK	Puede utilizar el banco y el almacén del gremio
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Puede expulsar a un miembro del gremio
GUILDWINDOW_GRADE_GRADENAME	Nombre de rango
GUILDWINDOW_GRADE_GRADENUMBER	Número de rango
GUILDWINDOW_GRADE_GUILDWAR	Puede seleccionar miembros para que participen como guerreros
GUILDWINDOW_GRADE_INVITEAUTHORITY	Puede incorporar miembros al gremio
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Puede publicar notas del gremio
GUILDWINDOW_GRADE_SKILLAUTHORITY	Puede utilizar habilidades del gremio
GUILDWINDOW_INFO_LEVEL5	+5% EXP en donac. a gremio
GUILDWINDOW_INFO_LEVEL10	Aumenta el máx. de miembros
GUILDWINDOW_INFO_LEVEL15	Oferta: Fuerza dragón
GUILDWINDOW_INFO_LEVEL20	Banco: exención impositiva
GUILDWINDOW_LAND_TAX	Arriendo
GUILDWINDOW_LIST_ALL	Todos los reinos
GUILDWINDOW_LIST_ALREADY_REGISTER	[Gremio] Ya has solicitado acceso para este gremio.
GUILDWINDOW_LIST_APPLICANT_LIST	Lista de candidatos
GUILDWINDOW_LIST_CHRACTER_JOB	Clase
GUILDWINDOW_LIST_CHRACTER_LV	Nivel
GUILDWINDOW_LIST_CHRACTER_NAME	Nombre del personaje
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Entrenamiento
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Miembros
GUILDWINDOW_LIST_GUILD_LIST	Lista de gremios
GUILDWINDOW_LIST_GUILD_LV	Nivel
GUILDWINDOW_LIST_GUILD_NAME	Gremio
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Gremio] Por favor, introduce el nombre de un gremio.
GUILDWINDOW_LIST_LADDER	Puntos de clasificación
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Gremio] Este gremio no tiene ningún anuncio.
GUILDWINDOW_LIST_PROMOTE_GUILD	Solicitud
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Lista de gremios
GUILDWINDOW_LIST_RANKING	Posición
GUILDWINDOW_LIST_RANKING_COUNT	Posición
GUILDWINDOW_LIST_REGISTER	Solicitudes
GUILDWINDOW_LIST_REGISTER_GUILD	Solicitar acceso a gremio
GUILDWINDOW_LIST_SEARCH	Buscar
GUILDWINDOW_LIST_SELECT_GUILD	[Gremio] Por favor, escoge un gremio al que solicitar acceso.
GUILDWINDOW_PROMOTE_REFRESH	Publicidad
GUILDWINDOW_PROMOTE_REGISTER	Publicidad
GUILDWINDOW_SP_RECOVER	Fuerza Dragón
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Expansión de altar
GUILDWINDOW_UPGRADE_GUILDBANK	Expansión de banco
GUILD_ATTENDANCE_FAIL_ALREADY	Hoy ya has participado.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	Ahora no puedes participar. La participación se restablece a las 5:00 h.
GUILD_BANKINFO_CLOSE	Cerrar
GUILD_BANKINFO_NAME	Miembro
GUILD_BANKINFO_TYPE	Objeto/Moneda
GUILD_BANKINFO_USETYPE	Acción
GUILD_BANK_CLOSE	Cerrar
GUILD_BANK_INFO	Registro del almacén del gremio
GUILD_BATTLE_APPLY_SUCCESS_MESSAGE	Te has apuntado a la Batalla Gremial.
GUILD_BATTLE_AREA_INFO_TEXT	Tiempo restante: %s\nMonstruos restantes (%d/61)\nAzul: (%s) Amarillo: (%s) Verde: (%s) Rojo: (%s)
GUILD_BATTLE_AREA_INFO_TEXT_FONT	Tahoma:14b
GUILD_BATTLE_AREA_UNDER_ATTCK_MESSAGE	Están atacando a los monstruos en %s.
GUILD_BATTLE_CANNOT_APPLY_TIME_MESSAGE	La Batalla Gremial ya está llena, así que no puedes unirte. ¡Vuelve a intentarlo la próxima vez!
GUILD_BATTLE_CANNOT_ENTER_JOIN_TIME	Todavía no puedes participar. Tiempo restante: %d minuto/s.
GUILD_BATTLE_CANNOT_ENTER_MAP_MESSAGE	Solo se puede entrar desde la primera aldea o desde la Llanura Dongan.
GUILD_BATTLE_CANNOT_ENTER_NOT_MATCHING_MESSAGE	No se ha encontrado rival adecuado para tu gremio. Vuelve a intentarlo la próxima vez.
GUILD_BATTLE_CANNOT_GET_REWARD_NOT_ENOUGH_INEVENTORY	No tienes suficiente espacio en el inventario.
GUILD_BATTLE_CANNOT_GUILD_ACTION_MESSAGE	
GUILD_BATTLE_CANNOT_PARTICIPATION_MESSAGE	No cumples los requisitos para apuntarte a la Batalla Gremial.
GUILD_BATTLE_CANNOT_USE_MOVE_TICKET_NOT_OCCUPY_MESSAGE	No puedes entrar en esta zona porque ya la ha conquistado otro gremio.
GUILD_BATTLE_CANNOT_USE_PORTAL_NOT_OCCUPY	Solo se puede utilizar cuando tu gremio conquiste la zona.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_MASTER	Solo lo puede utilizar el líder del gremio.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_OPEN	No puedes usar el Tique de Batalla Gremial.
GUILD_BATTLE_CAN_NOT_USE_TICKET_MESSAGE	Ya se ha utilizado y no puede volverse a utilizar.
GUILD_BATTLE_CMD_FAIL_IMMEDIATELY_START	Tienes que esperar a que se apunten al menos otros 2 gremios.
GUILD_BATTLE_DEAD_TO_PLAYER	Te ha derrotado un miembro del gremio %s.
GUILD_BATTLE_DROP_ITEM_BY_REWARD_BOX_MESSAGE	%s: Has obtenido %s.
GUILD_BATTLE_ENCOURAGE_MESSAGE	La Batalla Gremial comienza en %d minuto/s. Te has apuntado para participar. ¡Prepárate y dalo todo!
GUILD_BATTLE_END_MESSAGE	La Batalla Gremial ha concluido.
GUILD_BATTLE_END_REMAIN_TIME_MESSAGE	La Batalla Gremial acabará en %d minuto/s.
GUILD_BATTLE_ENTER_AREA_MESSAGE	Has entrado en %s. ¡Derrota a todos los monstruos!
GUILD_BATTLE_ENTER_BUTTON_TOOLTIP	Entrar
GUILD_BATTLE_ENTER_MESSAGE	Se te inscribirá en la Batalla Gremial.
