ACCEPT	Tamam
MINI_GAME_CATCHKING_REWARD	Ödülün
MINI_GAME_CATCHKING_SCORE	Puan
MINI_GAME_CATCHKING_SELECTION_NUMBER	Açýlan kartlar
MINI_GAME_CATCHKING_START_TEXT	Baþla
MINI_GAME_CATCHKING_TITLE	Kralý yakala
MINI_GAME_FISH_HELP_TEXT	Yardým
MINI_GAME_FISH_START_TEXT	Baþla
MINI_GAME_FISH_TITLE	Balýk yapboz oyunu
MINI_GAME_RUMI_DISCARD_TEXT	Güvenli Mod
MINI_GAME_RUMI_EXIT	Bitir
MINI_GAME_RUMI_LBUTTON_DESC	Kartý sola týklayarak ekle
MINI_GAME_RUMI_RBUTTON_DESC	Kartý saða týklayarak sil
MINI_GAME_RUMI_SCORE	Puan
MINI_GAME_RUMI_START_TEXT	Baþla
MINI_GAME_RUMI_TITLE	Okey Kart Oyunu
MINI_GAME_YUTNORI_COM_TEXT	Bilgisayar
MINI_GAME_YUTNORI_PLAYER_TEXT	Oyuncular
MINI_GAME_YUTNORI_PROBABILITY	Olasýlýk
MINI_GAME_YUTNORI_PROB_DESC	Daha yüksek bir olasýlýk kazandýrmak için bir Yut atýþý seç.
MINI_GAME_YUTNORI_REMAIN_COUNT	Hamleler
MINI_GAME_YUTNORI_REWARD_TEXT	Ödül
MINI_GAME_YUTNORI_SCORE	Puan durumu
MINI_GAME_YUTNORI_START_TEXT	Baþla
MINI_GAME_YUTNORI_THROW	At
MINI_GAME_YUTNORI_TITLE	Yutnori
MINI_GAME_YUTNORI_YUTSEM1	Do
MINI_GAME_YUTNORI_YUTSEM2	Ge
MINI_GAME_YUTNORI_YUTSEM3	Geol
MINI_GAME_YUTNORI_YUTSEM4	Yut
MINI_GAME_YUTNORI_YUTSEM5	Mo
MINI_GAME_YUTNORI_YUTSEM6	Back-do
MISTS_ISLAND_EMPIRE_NAME	Krallýk adý
MISTS_ISLAND_EMPIRE_SCORE	Krallýk puaný
MISTS_ISLAND_END_TIME	Bitiþ tarihi
MISTS_ISLAND_EXIT	Vazgeç
MISTS_ISLAND_INFO_TEXT	Rütbe ve durum bilgisi
MISTS_ISLAND_RANK	Rütbe
MISTS_ISLAND_SCORE	Puan
MISTS_ISLAND_TITLE_RANK	Rütbe ve durumla ilgili bilgi
MISTS_ISLAND_TITLE_SCORE	Genel görünüm
MONSTER_CARD_ACHIEV_BONUS	Baþarýlar
MOUNT_UPGRADE_SYSTEM_DISABLE_GIVE_FEED_BUTTON_POPUP_MESSAGE	Atý artýk besleyemezsin.
MOUNT_UPGRADE_SYSTEM_GIVE_FEED	Atý besle
MOUNT_UPGRADE_SYSTEM_GIVE_FEED_BUTTON_POPUP_MESSAGE	Seviyeyi artýrmak için tüm at yemlerini daðýt.
MOUNT_UPGRADE_SYSTEM_GIVE_FEED_NOT_ENOUGH	Yetersiz at yemi
MOUNT_UPGRADE_SYSTEM_LEVEL_UP	Seviyeyi artýr
MOUNT_UPGRADE_SYSTEM_TITLE	At seviyesini artýr
MOUSEBUTTON_ATTACK	Saldýrý
MOUSEBUTTON_AUTO_ATTACK	Otomatik Saldýrý
MOUSEBUTTON_CAMERA	Kamera
MOUSEBUTTON_SKILL	Beceriler
MUSICLIST_TITLE	Müzik Seçimi
NEW_EXCHANGE_YOU	Sen
NO	Hayýr
OK	Tamam
OPTION_ALWAYS_SHOW_NAME	Isim
OPTION_ALWAYS_SHOW_NAME_OFF	Sýnýrlý
OPTION_ALWAYS_SHOW_NAME_ON	Her Zaman
OPTION_BLOCK	Engelle
OPTION_BLOCK_EXCHANGE	Ticaret
OPTION_BLOCK_FRIEND	Arkadaþlar
OPTION_BLOCK_GUILD	Lonca
OPTION_BLOCK_PARTY	Grup
OPTION_BLOCK_PARTY_REQUEST	Rica
OPTION_BLOCK_WHISPER	Fýsýltý
OPTION_CAMERA_DISTANCE	Kamera
OPTION_CAMERA_DISTANCE_LONG	Uzak Mesafe
OPTION_CAMERA_DISTANCE_SHORT	Kýsa Mesafe
OPTION_DELETE_MOBILE_BUTTON	Cep Telefonu Numaraný Sil
OPTION_EFFECT	Önemli Bilgiler
OPTION_ENB_MODE	ENB Modu
OPTION_ENB_MODE_ON	On
OPTION_ENB_MODE_ON_TOOLTIP	ENB Modu (HD)
OPTION_ENB_MODE_OFF	Off
OPTION_ENB_MODE_OFF_TOOLTIP	Normal Mod (Varsayýlan)
OPTION_FOG	Sis
OPTION_FOG_DENSE	Yoðun
OPTION_FOG_LIGHT	Hafif
OPTION_FOG_MIDDLE	Normal
OPTION_FOV	Görüþ Alaný
OPTION_FOV_RESET	Sýfýrla
OPTION_FOG_OFF	Kapalý
OPTION_FOG_ON	Açýk
OPTION_MOB_INFO	Canavar Bil.
OPTION_MOB_INFO_AGGR	Saldýrgan
OPTION_MOB_INFO_LEVEL	Seviye
OPTION_MUSIC	Müzik
OPTION_MUSIC_CHANGE	Deðiþtir
OPTION_MUSIC_DEFAULT_THEMA	Metin2 Standart Müziði
OPTION_NAME_COLOR	Ýsim rengi
OPTION_NAME_COLOR_EMPIRE	Ülke Rengi
OPTION_NAME_OUTLINE	Ýsim Anahattý
OPTION_NAME_OUTLINE_OFF	Kapalý
OPTION_NAME_OUTLINE_ON	Açýk
OPTION_NAME_COLOR_NORMAL	Normal
OPTION_NIGHT_MODE	Gece
OPTION_NIGHT_MODE_OFF	Off
OPTION_NIGHT_MODE_ON	On
OPTION_PVPMODE	PvP Modu
OPTION_PVPMODE_FREE	Serbest
OPTION_PVPMODE_FREE_TOOLTIP	Tüm oyunculara saldýrma izni var.
OPTION_PVPMODE_GUILD	Lonca
OPTION_PVPMODE_GUILD_TOOLTIP	Lonca üyeleri hariç tüm oyunculara saldýrma izni var.
OPTION_PVPMODE_PEACE	Barýþ
OPTION_PVPMODE_PEACE_TOOLTIP	Kendi krallýðýnýn oyuncularýna saldýramazsýn.
OPTION_PVPMODE_REVENGE	Düþman
OPTION_PVPMODE_REVENGE_TOOLTIP	Sadece farklý ülkelerden olanlara saldýrabilirsiniz.
OPTION_SALESTEXT	Market Ýsmi
OPTION_SALESTEXT_VIEW_OFF	Gizle
OPTION_SALESTEXT_VIEW_ON	Göster
OPTION_SNOW_MODE	Kar Yaðýþý
OPTION_SNOW_MODE_OFF	Off
OPTION_SNOW_MODE_ON	On
OPTION_SNOW_TEXTURE_MODE	Kar
OPTION_SNOW_TEXTURE_MODE_OFF	Off
OPTION_SNOW_TEXTURE_MODE_ON	On
OPTION_SOUND	Efektler
OPTION_STONES	Metin Taþlarý
OPTION_TARGET_BOARD	Hedef Tahtasý
OPTION_TARGET_BOARD_NO_VIEW	Kapat
OPTION_TARGET_BOARD_VIEW	Göster
OPTION_TELEPORT	Iþýnlanma
OPTION_TITLE	Seçenekler
OPTION_VIEW_CHAT	Sohbet Satýrý
OPTION_VIEW_CHAT_OFF	Gizle
OPTION_VIEW_CHAT_ON	Göster
PARTY_MEMBER_INFO_NAME	Grup Üyesinin Ýsmi
PASSIVE_ATTR_ACTIVATE_BUTTON	Etkinleþtir
PASSIVE_ATTR_UI_ADD_BUTTON	Ekle
PASSIVE_ATTR_UI_CHARGE_BUTTON	Yükle
PASSIVE_ATTR_UI_TITLE	Kalýntý bonusu
PASSWORD_DESC_1	Depoyu açmak için,
PASSWORD_DESC_2	þifreyi gir.
PASSWORD_DESC_3	Þifreni deðiþtirdin mi?
PASSWORD_DESC_4	Deðiþtirmediysen þifren þudur: "000000".
PASSWORD_DESC_5	Þifreni depoda deðiþtir.
PASSWORD_TITLE	Þifre Kaydetme
PET_AGE_TEXT	Pet yaþý
PET_ATTR_CHANGE_ITEM_TEXT	Pet efsunla
PET_ATTR_CHANGE_TITLE	Pet tipini deðiþtir
PET_ATTR_CONFIRMATION	Deðiþtir
PET_ATTR_DETERMINE_TITLE	Yeni pet tipi
PET_ATTR_OK	Kapat
PET_CHANGE_TEXT	Pet
PET_FEED_TITLE	Besle
PET_FEED_TITLE_EVOLVE	Geliþtir
PET_FEED_TITLE_EXP	Eþya EXP
PET_FFED_BUTTON_TEXT	Besle
PET_HATCHING_BUTTON	Yumurtadan çýk
PET_HATCHING_NIK	Pet adý
PET_HATCHING_WINDOW_TITLE	Kuluçka Makinesi
PET_INFORMATION_ABILITIES	Bonuslar
PET_INFORMATION_AGE	Yaþ
PET_INFORMATION_COSTUME_BONUS	Kostüm Bonusu
PET_INFORMATION_DEFENCE	Savunma
PET_INFORMATION_EVOL_BUTTON	Geliþme
PET_INFORMATION_EXP	Tecrübe
PET_INFORMATION_EXP_BUTTON	Nesne EXP
PET_INFORMATION_HP	HP
PET_INFORMATION_LEVEL	Seviye
PET_INFORMATION_LIFE	Süre
PET_INFORMATION_LIFETIME_BUTTON	Besle
PET_INFORMATION_LIFE_TIME	Saat
PET_INFORMATION_SKILL	Beceri
PET_INFORMATION_SP	SP
PET_INFORMATION_TITLE	Pet
PET_NAME_CHANGE_BUTTON	Deðiþtir
PET_NAME_CHANGE_WINDOW_TITLE	Ýsmi deðiþtir
PET_POTENTIAL_TITLE	Potansiyel
PET_REVIVE_BUTTON	Dirilt
PET_REVIVE_CANCEL_BUTTON	Ýptal et
PET_REVIVE_MATERIAL_TITLE	Malzeme
PET_REVIVE_REUSLT_TEXT	Sonuç
PET_REVIVE_TARGET	Diriltilecek pet
PET_REVIVE_TITLE	Pet diriltme
PICK_MONEY_TITLE	Bölmek
POTIONS_INVENTORY_TITLE	Ýksirler
PRIVATE_SHOP_CLOSE_BUTTON	Dükkaný kapat
PRIVATE_SHOP_NAME	Dükkan ismi
PRIVATE_SHOP_TITLE	Özel dükkan aç
REFINE_COST	Yükseltme Ücreti: 0 Yang
REFINE_INFO	Baþarýlý bir geliþtirme olasýlýðý: %100
REFINE_MONEY	Arýndýrma Ücreti
REFINE_SELECT	Arýndýrma
REFINE_TTILE	Yükseltme
REPORT_VIOLENT_WHISPER	
RESTART_GIVEUP	Vazgeç
RESTART_HERE	Burada yeniden baþla
RESTART_INSTANT	Hemen yeniden baþlat
RESTART_TOWN	Þehirde yeniden baþla
SAFE_CHANGE_PASSWORD	Þifre Deðiþtir
SAFE_TITLE	Depo
SELECT_ATT	STR
SELECT_CHARACTER_ASSASSIN	Ninja
SELECT_CHARACTER_ASSASSIN_SKILL	Yakýn Dövüþ | Uzak Dövüþ
SELECT_CHARACTER_CUSTOMIZATION_TITLE	Özelleþtirme
SELECT_CHARACTER_SEX	Cinsiyet Seç
SELECT_CHARACTER_SHAMAN	Þaman
SELECT_CHARACTER_SHAMAN_SKILL	Ejderha Gücü | Ýyileþtirme
SELECT_CHARACTER_SKIN	Ten Rengi Seç
SELECT_CHARACTER_SURA	Sura
SELECT_CHARACTER_SURA_SKILL	Büyülü Silah | Kara Büyü
SELECT_CHARACTER_NAME	Karakter Adý
SELECT_CHARACTER_STATUS_TITLE	Karakter Durumu
SELECT_CHARACTER_TITLE	Karakterini Seç
SELECT_CHARACTER_WARRIOR	Savaþçý
SELECT_CHARACTER_WARRIOR_SKILL	Bedensel | Zihinsel
SELECT_CREATE_CHARACTER	Karakter Oluþtur
SELECT_DEX	DEX
SELECT_ATTR_CHANGED	Yeni
SELECT_ATTR_CURRENT	Eski
SELECT_ATTR_SELECT	Seç
SELECT_ATTR_TITLE	Efsun Nesnesi+
SELECT_ATT_GRADE	STR
SELECT_BOX_CANCEL	Kabul etme
SELECT_BOX_LIST	Ödüller
SELECT_BOX_NOTTHING_USABLE_ITEM	Senin için bir eþya bulunamadý. \n\nBir filtreyi kaldýr.
SELECT_BOX_QUESTION_RECV_ITEM_1	Seçilen eþya
SELECT_BOX_QUESTION_RECV_ITEM_2	%s\n\n %d
SELECT_BOX_QUESTION_RECV_ITEM_3	Bu eþyayý almak istiyor musun?
SELECT_BOX_RECEIVE	Kabul et
SELECT_BOX_SELECTED_ITEM_TEXT_1	Listeden bir eþya\nseç.
SELECT_BOX_SELECTED_ITEM_TEXT_2	%s, %d
SELECT_BOX_SELECTED_REWARD	Seçilen ödül
SELECT_BOX_TITLE	Ödül seç
SELECT_BOX_TOOLTIP_ONLY_USABLE_ITEM	Yalnýzca uygun eþyalarý göstermek için karakterinin cinsiyetine, sýnýfýna ve mesleðine göre filtrele.
SELECT_BOX_TOOLTIP_REWIND_BUTTON	Seçilen eþyanýn bulunduðu sayfaya geri dön.
SELECT_CREATE	Oluþtur
SELECT_DELETE	Sil
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Krallýk Ýsmi
SELECT_EXIT	Çýkýþ
SELECT_HP	HP
SELECT_LEVEL	Seviye
SELECT_METIN_STONE_TITLE	Zihin Taþý Seç
SELECT_NAME	Isim
SELECT_NO_GUILD	Lonca Yok
SELECT_ORIGIN_STAT	Baþlangýç Noktasý
SELECT_PLAYTIME	Oyun Süresi
SELECT_SELECT	Baþla
SELECT_SP	INT
SELECT_SUNGMA_STAT	SungMa Ýradesi
SELECT_TITLE	Baþlýk Seç
SELECT_YES_GUILD	Lonca Adý: %s
SHOP_BUY	Satýn Al
SHOP_SELL	Sat
SHOP_TITLE	Dükkan
SKILL_SUPPORT_TITLE	Standart Beceriler
STEP	Saflýk Derecesi
STEP_SELECT	Saflýk Derecesi
STRENGTH	Güçlendirme
STRENGTH_SELECT	Seviye
STRUCTURE_VIEW_MODE	Dekorasyon
STRUCTURE_VIEW_TYPE_STRUCTURE	Dekoru gizle
SUNGHAHEE_TOWER_CLEAR	Baþardýn
SUNGMAHEE_GATE_ACHIEV_COUNT	Kupa sayýsý
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_GET_REWARD	Ödül al
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_REWARD_LIST	Ödül listesi
SUNGMAHEE_GATE_TITLE	SungMa Ýstila Portalý
SUNGMAHEE_GATE_TITLE_ACHIEV	Kupalar
SUNGMAHEE_GATE_TITLE_REWARD	Kupa ödülü
SUNGMAHEE_TOWER_DUNGEON_ENTER_QUESTION	%d. kata girmek istiyor musun?
SUNGMAHEE_TOWER_DUNGEON_EXIT_QUESTION	Meydan okumayý iptal etmek istiyor musun?
SUNGMAHEE_TOWER_ELEMENT_ALL	Tümü
SUNGMAHEE_TOWER_ELEMENT_DARK	Karanlýk
SUNGMAHEE_TOWER_ELEMENT_EARTH	Dünya
SUNGMAHEE_TOWER_ELEMENT_ELEC	Þimþek
SUNGMAHEE_TOWER_ELEMENT_FIRE	Ateþ
SUNGMAHEE_TOWER_ELEMENT_ICE	Buz
SUNGMAHEE_TOWER_ELEMENT_TITLE	Kattaki elementler
SUNGMAHEE_TOWER_ELEMENT_WIND	Rüzgar
SUNGMAHEE_TOWER_ENTER_BUTTON	Gir
SUNGMAHEE_TOWER_ENTER_TITLE	Sung Mahi'nin Cehennem Kulesi
SUNGMAHEE_TOWER_EXIT_BUTTON	Çýk
SUNGMAHEE_TOWER_INFO_BOARD_FLOOR	K%d
SUNGMAHEE_TOWER_MISSION_TYPE_ALL_KILL_MOB_PAUSE_SPECIAL	Tüm canavarlarý ve þeytan taþlarýný alt et!
SUNGMAHEE_TOWER_MISSION_TYPE_BOSS	Tüm canavarlarý öldür!
SUNGMAHEE_TOWER_MISSION_TYPE_CHESS_FAIL	Tüm canavarlarý öldür!
SUNGMAHEE_TOWER_MISSION_TYPE_COMPLETE	Görev tamamlandý
SUNGMAHEE_TOWER_MISSION_TYPE_CORRECT_ITEM_USE	Anahtarý bul ve kaç!
SUNGMAHEE_TOWER_MISSION_TYPE_DEBUFF_RELEASE	Tüm canavarlarý öldür!
SUNGMAHEE_TOWER_MISSION_TYPE_FINDING_RIGHT_MATCH_METIN_STONE	Lanetli Metini imha et!
SUNGMAHEE_TOWER_MISSION_TYPE_FINDING_RIGHT_MATCH_METIN_STONE_FAIL	Tüm canavarlarý öldür!
SUNGMAHEE_TOWER_MISSION_TYPE_MONSTER_CHESS	Birbirine ait olmayan bir canavar çiftini öldür!
SUNGMAHEE_TOWER_MISSION_TYPE_NORMAL	Tüm canavarlarý öldür!
SUNGMAHEE_TOWER_MISSION_TYPE_SEAL_RELEASE	Mühür taþlý mührü kýr!
SUNGMAHEE_TOWER_MISSION_TYPE_STAIRS	Bir sonraki kata giden basamaklarý týrman!
SUNGMAHEE_TOWER_MISSION_TYPE_SURVIVE	Tüm saldýrýlarý savuþtur!
SUNGMAHEE_TOWER_MY_RANK_TITLE	Rütbe
SUNGMAHEE_TOWER_REWARD_INFO_TITLE	Ödüller
SYSTEMOPTION_TITLE	Sistem Seçenekleri
SYSTEM_CANNOT_CONTROL_AND_ESCAPTE	Serbest býrak
SYSTEM_CHANGE	Karakter Deðiþikliði
SYSTEM_CHANGE_CHANNEL	Kanal deðiþtir
SYSTEM_EXIT	Oyun Sonu
SYSTEM_INSTANT_EXIT	Hýzlý Çýkýþ
SYSTEM_LOGOUT	Çýkýþ
SYSTEM_MALL	Nesne Market
SYSTEM_OPTION	Sistem Seçenekleri
TASKBAR_ANTI_EXP	Deneyim Engelleyici
TASKBAR_CHARACTER	Karakter
TASKBAR_CHAT	Sohbet Penceresi [Enter]
TASKBAR_HUNTING	Avcýlýk Görevleri
TASKBAR_COMMUNITY	Topluluk
TASKBAR_DISABLE	Devre dýþý
TASKBAR_DRAGON_SOUL	Ejderha Taþý Simyasý
TASKBAR_EXPAND	Paneli geniþlet
TASKBAR_INVENTORY	Envanter
TASKBAR_MESSENGER	Arkadaþlar [Alt+M]
TASKBAR_MONEY_EXPAND	Sermaye
TASKBAR_NEXT_QUICKSLOT	Sonraki Hýzlý Giriþ Alaný [Shift+Number, Alt]
TASKBAR_PET_INFO	Pet Bilgisi
TASKBAR_PREV_QUICKSLOT	Önceki Quickslot
TASKBAR_SYSTEM	Seçenekler[ESC]
WHISPER_BAN	Engelle
WHISPER_NAME	Fýsýltý
WHISPER_REPORT	
WHISPER_SEND	Gönder
WON_NEW	Won
YANG_NEW	Yang
YES	Evet
ZONE_MAP	Genel Görünüm Haritasý
GUILD_BASEINFO_LANDABANDON	Lonca arazisini feshet
GUILD_BASEINFO_MONEYIN	Para Yatýr
GUILD_BASEINFO_MONEYOUT	Para Çek
CHEST_VIEW_DROP_OPEN_CHEST	%d Sandýðý Aç
CHEST_VIEW_DROP_OPEN_CHESTS	%d Sandýðý Aç
CHEST_VIEW_DROP_TITLE	Sandýk Düþürme
TELEPORT_WINDOW_TITLE	Iþýnlanma Penceresi
TELEPORT_WINDOW_BUTTON_TELEPORT	Iþýnlan
TELEPORT_WINDOW_NAVIGATION_TITLE	Nereye gitmek istiyorsunuz?
SKILL_COLOR_BUTTON_ALL	Tümünü Renklendir
SKILL_COLOR_BUTTON_DEFAUL	Varsayýlan
SKILL_COLOR_BUTTON_SAVE	Kaydet
SKILL_COLOR_TITLE	Renk Seç
SORT_INVENTORY	Yenile
SORT_INVENTORY_TEXT1	Bu seçenek eþyalarýnýzý düzenlemenize yardýmcý olur.
SORT_INVENTORY_TEXT2	Devam etmek istiyor musunuz?
SPECIAL_INVENTORY_CHANGERS_TOOLTIP	Deðiþtiriciler
SPECIAL_INVENTORY_CHEST_TOOLTIP	Sandýklar
SPECIAL_INVENTORY_MALL_TOOLTIP	Eþya Dükkaný
SPECIAL_INVENTORY_MATERIAL_TOOLTIP	Malzemeler
SPECIAL_INVENTORY_SAFEBOX_TOOLTIP	Depo
SPECIAL_INVENTORY_SKILL_BOOK_TOOLTIP	Kitaplar
SPECIAL_INVENTORY_STONE_TOOLTIP	Taþlar
SPECIAL_INVENTORY_PAGE_PLEASE_WAIT	Lütfen bekleyin...
SPECIAL_INVENTORY_TITLE	Özel Envanter
LOGIN_ACCOUNT_CANNOT_DELETE	Bir hesabý silebilmek için en az bir kayýtlý hesabýnýz olmalý.
LOGIN_ACCOUNT_CANNOT_SAVE	Bu hesap için boþ bir kayýt yuvasý yok.
LOGIN_ACCOUNT_CANNOT_SAVE2	Kaydedilecek hesabý yazýnýz.
LOGIN_ACCOUNT_DELETED	Hesap baþarýyla silindi.
LOGIN_ACCOUNT_EMPTY	Boþ
LOGIN_ACCOUNT_FORGOT_PASS	Þifremi unuttum.
LOGIN_ACCOUNT_NO_DATA	Hiç kayýtlý hesap bulunamadý.
LOGIN_ACCOUNT_REGISTER	Yeni bir hesap oluþtur!
LOGIN_ACCOUNT_SAVED	Hesap baþarýyla kaydedildi.
LOGIN_BACK	Geri
LOGIN_CHANNEL_1	CH 1
LOGIN_CHANNEL_2	CH 2
LOGIN_CHANNEL_3	CH 3
LOGIN_CHANNEL_4	CH 4
AUTO_PICKUP_PREMIUM_DISABLED	Devre Dýþý
AUTO_PICKUP_PREMIUM_ENABLED	Aktif
AUTO_PICKUP_PREMIUM_FILTER	Filtrele
AUTO_PICKUP_PREMIUM_FILTER_ARMOR	Zýrh
AUTO_PICKUP_PREMIUM_FILTER_BRACELET	Bilezik
AUTO_PICKUP_PREMIUM_FILTER_CHESTS	Sandýk
AUTO_PICKUP_PREMIUM_FILTER_EARRINGS	Küpe
AUTO_PICKUP_PREMIUM_FILTER_HELMET	Miðfer
AUTO_PICKUP_PREMIUM_FILTER_NECKLACE	Kolye
AUTO_PICKUP_PREMIUM_FILTER_OTHERS	Diðerleri
AUTO_PICKUP_PREMIUM_FILTER_SHIELD	Kalkan
AUTO_PICKUP_PREMIUM_FILTER_SHOES	Bot
AUTO_PICKUP_PREMIUM_FILTER_WEAPONS	Silahlar
AUTO_PICKUP_PREMIUM_FILTER_YANG	Yang
AUTO_PICKUP_PREMIUM_INFO	Faydalanmak için etkinleþtir:
AUTO_PICKUP_PREMIUM_INFO_BENEFIT_1	- Otomatik Toplama (Z tuþuna basmaya son)
AUTO_PICKUP_PREMIUM_INFO_BENEFIT_2	- Eþyalarý daha geniþ bir menzilden toplama.
AUTO_PICKUP_PREMIUM_STATUS	Durum: 
AUTO_PICKUP_PREMIUM_STATUS_ON	|cFF00CB45 Aktif %s
AUTO_PICKUP_PREMIUM_STATUS_OFF	|cFFFF4C4C Devre Dýþý
AUTO_PICKUP_PREMIUM_TITLE	Otomatik Toplama
EXTENDED_BATTLE_PASS_TITLE	Savaþ Bileti
EXTENDED_BATTLE_PASS_ACTIVATE_PREMIUM	Premium Savaþ Biletini Etkinleþtir!
EXTENDED_BATTLE_PASS_CURRENT_SEASON	Mevcut Sezon:
EXTENDED_BATTLE_PASS_NOTHING_PLANNED	Þu anda planlanmýþ bir etkinlik yok!
EXTENDED_BATTLE_PASS_PLANNED	Bir etkinlik planlanmýþ!
EXTENDED_BATTLE_PASS_PLANNED_TIME	Kalan süre: %s
EXTENDED_BATTLE_PASS_RANK_ICON_RANK	Rütbe
EXTENDED_BATTLE_PASS_RANK_ICON_NAME	Ýsim
EXTENDED_BATTLE_PASS_RANK_ICON_TIME	Ýlk görevden itibaren geçen süre
EXTENDED_BATTLE_PASS_SEASON_TITLE	Bilgi
EXTENDED_BATTLE_PASS_SEASON_CURRENT_MISSIONS	Tamamlanan görevler: %d / %d
EXTENDED_BATTLE_PASS_SEASON_DATE_FROM	Baþlangýç
EXTENDED_BATTLE_PASS_SEASON_DATE_TO	Bitiþ
EXTENDED_BATTLE_PASS_SEASON_PROGRESS	Tüm görevlerin ilerlemesi
EXTENDED_BATTLE_PASS_MISSION_NAME	Görev
EXTENDED_BATTLE_PASS_MISSION_STATUS	Durum
EXTENDED_BATTLE_PASS_MISSION_INFO	Bilgi
EXTENDED_BATTLE_PASS_MISSION_STATUS_IN_PROGRESS	|cfffeff7d|H|hDevam Ediyor!|h|r
EXTENDED_BATTLE_PASS_MISSION_STATUS_FINISH	|cff82ff7d|H|hTamamlandý!|h|r
EXTENDED_BATTLE_PASS_MISSION_INFORMATION_MONSTER	Yaratýk: |cff82ff7d|H|h%s|h|r
EXTENDED_BATTLE_PASS_MISSION_INFORMATION_MINLEVEL	Min. Seviye: |cff82ff7d|H|h%s|h|r
EXTENDED_BATTLE_PASS_MISSION_INFORMATION_ITEM	Eþya: |cff82ff7d|H|h%s|h|r
EXTENDED_BATTLE_PASS_MISSION_INFORMATION_FISH	Balýk: |cff82ff7d|H|h%s|h|r
EXTENDED_BATTLE_PASS_MISSION_INFORMATION_MAPNAME	Harita: |cff82ff7d|H|h%s|h|r
EXTENDED_BATTLE_PASS_MISSION_INFORMATION_GUILDWARTYPE	Lonca Savaþý Türü: |cff82ff7d|H|h%s|h|r
EXTENDED_BATTLE_PASS_MISSION_INFORMATION_DUNGEON	Zindan: |cff82ff7d|H|h%s|h|r
EXTENDED_BATTLE_PASS_MISSION_INFORMATION_COUNT	Sayý: |cfffeff7d|H|h%s|h|r / |cff82ff7d|H|h%s|h|r
EXTENDED_BATTLE_PASS_MISSION_INFORMATION_PERCENT	Ýlerleme: |cfffeff7d|H|h%.2f%%|h|r
EXTENDED_BATTLE_PASS_DESCRIPTION	Açýklama:
EXTENDED_BATTLE_PASS_NONE_COND_TITLE_MOB	Yaratýk
EXTENDED_BATTLE_PASS_NONE_COND_TITLE_ITEM	Eþya
EXTENDED_BATTLE_PASS_NONE_COND_TITLE_FISH	Balýk
EXTENDED_BATTLE_PASS_NONE_COND_TITLE_DUNGEON	Zindanlar
EXTENDED_BATTLE_PASS_TYPENAME_1	Boss Avcýsý
EXTENDED_BATTLE_PASS_TYPENAME_1_DESC_1	%sx %s öldür.
EXTENDED_BATTLE_PASS_TYPENAME_1_DESC_2	Herhangi bir bossu %s kez öldür.
EXTENDED_BATTLE_PASS_TYPENAME_2	%s Öldür
EXTENDED_BATTLE_PASS_TYPENAME_2_DESC_1	%sx %s öldür.
EXTENDED_BATTLE_PASS_TYPENAME_2_DESC_2	Rastgele %sx yaratýk öldür.
EXTENDED_BATTLE_PASS_TYPENAME_3	%s Oyuncu Öldür
EXTENDED_BATTLE_PASS_TYPENAME_3_DESC_1	%s oyuncu öldür. Herhangi bir krallýktan olabilir. Oyuncular en az seviye %s olmalýdýr!
EXTENDED_BATTLE_PASS_TYPENAME_3_DESC_2	%s oyuncu öldür. Herhangi bir krallýktan olabilir. Seviye sýnýrý yoktur!
EXTENDED_BATTLE_PASS_TYPENAME_4	Taþ Kýrýcý
EXTENDED_BATTLE_PASS_TYPENAME_4_DESC_1	%sx %s yok et.
EXTENDED_BATTLE_PASS_TYPENAME_4_DESC_2	Herhangi bir Metin Taþýný %s kez yok et.
EXTENDED_BATTLE_PASS_TYPENAME_5	Yaratýklara Toplam Hasar
EXTENDED_BATTLE_PASS_TYPENAME_5_DESC_1	%s üzerinde toplam %s hasara ulaþ.
EXTENDED_BATTLE_PASS_TYPENAME_5_DESC_2	Herhangi bir yaratýkta toplam %s hasara ulaþ.
EXTENDED_BATTLE_PASS_TYPENAME_6	Oyunculara Toplam Hasar
EXTENDED_BATTLE_PASS_TYPENAME_6_DESC_1	Minimum seviye %d olan oyunculara toplam %s hasar ver. Herhangi bir krallýktan olabilirler.
EXTENDED_BATTLE_PASS_TYPENAME_6_DESC_2	Oyunculara toplam %s hasar ver. Herhangi bir krallýktan olabilirler.
EXTENDED_BATTLE_PASS_TYPENAME_7	%s Kullan
EXTENDED_BATTLE_PASS_TYPENAME_7_DESC_1	Bu görevi tamamlamak için %sx %s kullan veya aç.
EXTENDED_BATTLE_PASS_TYPENAME_7_DESC_2	Bu görevi tamamlamak için herhangi bir eþyayý %s kez kullan veya aç.
EXTENDED_BATTLE_PASS_TYPENAME_8	%s Sat
EXTENDED_BATTLE_PASS_TYPENAME_8_DESC_1	Bu görevi tamamlamak için %sx %s eþyasýný NPC’ye sat.
EXTENDED_BATTLE_PASS_TYPENAME_8_DESC_2	Bu görevi tamamlamak için herhangi bir eþyayý NPC’ye %s kez sat.
EXTENDED_BATTLE_PASS_TYPENAME_9	%s Yükselt
