ACCE_ABSORB_CHANCE	Emiþ oraný: %d%%
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Grafik kartý kurulamadý. \n Eðer VGA kartýnýz varsa kontrol edin. \n Alternatif olarak, donaným hýzlandýrýcýnýzý aktif edebilirsiniz. \n (Donaným Hýzlandýrýcýnýzý maximuma ayarlayýn \n Control Panel->Display->Settings->Advanced->Troubleshoot)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Bilgisayarýnýzdaki grafik kartý Windows 32bit Modunu desteklemiyor.\n16bit Modunu veya tam ekran seçeneðini kullanýnýz.
GAME_INIT_ERROR_ITEM_PROTO	Nesne bilgileri yok.\nOyunu tekrar yükleyiniz.
GAME_INIT_ERROR_MAIN_WINDOW	Anayapý oluþturulamýyor.
GAME_INIT_ERROR_MOB_PROTO	Canavar bilgileri yok.\nOyunu tekrar yükleyiniz.
GAME_INIT_ERROR_NETWORK	Baðlantý kurulamýyor.\ninternet baðlantýnýzý kontrol ediniz.
GAME_OPTION_GAME	Oyun
GAME_OPTION_KEYCHANGE_SAVE_OPTION	Yalnýzca bu karaktere ait tuþ atamalarýný kaydetmek için seç.
GAME_OPTION_KEYSETTING	Tuþ atamalarý
GAME_OPTION_KEYSETTING_CHECK_KEY	Artýk bir iþleve atanan tuþ atamasý yok.
GAME_OPTION_KEYSETTING_KEY_CHANGE_CHECK	Bu tuþ zaten %s için kullanýlýyor. Bunu deðiþtirmek istiyor musun?
GAME_OPTION_KEYSETTING_KEY_INIT_NOTICE	%s sýfýrlandý. Lütfen tekrar seç.
GAME_OPTION_LOOTING	Ganimet
GAME_OPTION_SYSTEM	Sistem
GAME_OPTION_SYSTEM_DROP_YANG_CHECK_TOOLTIP	Bu seçenek seçildiðinde Yang gösterilir. Seçimi kaldýrdýðýnda ise gizlenir.
GAME_OPTION_SYSTEM_STRUCTURE_TOOLTIP	Dekoru gizle
GAME_PICK_MONEY	%s Yang aldýn.
GAME_USE_MONEY	%s Yang harcandý.
GEM_CONVERTER_MESSAGE_CONVERT_SUCCESS_CONVERTER	%d Gaya dönüþtürücü kullandýn.
GEM_CONVERTER_MESSAGE_CONVERT_SUCCESS_GEM_STONE	%d süs taþý tüketildi.
GEM_CONVERTER_MESSAGE_GEM_MAX	Zaten maksimum sayýda Gayaya sahipsin.
GEM_CONVERTER_MESSAGE_NOT_ENOUGH_GEMSTONE	En az %s süs taþýna ihtiyacýn var.
GEM_CONVERTER_MESSAGE_NOT_ENOUGH_GOLD	Yeterince Yang'ýn yok.
GEM_CONVERTER_MESSAGE_USE_CONVERTER_QUESTION	Gaya dönüþtürücüsünü kullanmak istiyor musun?
GEM_SYSTEM_ADD_SLOT	Gerekli nesne: %s.\nÞimdi %d adet kullanýp, yeni bir sýra açmak ister misin?
GEM_SYSTEM_BUY_ITEM	Bu nesneyi satýn almak istiyor musun?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] Yeterince 'Gaya maðazasýný sýfýrlaya' sahip deðilsin.
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] Yeterli Gayan yok.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] Daha fazla yer açýlamaz.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Önce Gaya maðazasýný aç.
GEM_SYSTEM_PICK_GEM	%s Gaya aldýn.
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Sýfýrlamak istiyor musun?
GEM_USE_GEM	%s Gaya harcandý.
GIVEUP_QUESTION	Pes etmek istediðinden emin misin?
GOLDEN_LAND_CHAT_MESSAGE_CANNOT_USE_FRUIT_BOX_EVENT_CLOSED	Etkinlik sonra erdiði için artýk bu eþyayý kullanamazsýn.
GOLDEN_LAND_CHAT_MESSAGE_CANNOT_USE_MINE_TOWER_SKILL_PROCESSING	Bir patlayýcý kulesi etkinleþtirildiðinde bunu artýk kullanamazsýn.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_CLEAR	Tüm altýn dut alanlarýný buldun! Ödülünü posta yoluyla alýrsýn.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_GOLDEN_FRUIT_FOUND	Bir altýn dut alaný buldun!
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_GOLDEN_FRUIT_NOT_FOUND	Bu altýn dut alaný deðilmiþ.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_NOT_ENOUGH_YELLOW_FRUIT	Yeterince altýn dutun yok.
GOLDEN_LAND_CHAT_MESSAGE_MINE_TOWER_GUARD_CREATED	Patlama korumasý etkinleþtirildi. Bir sonraki patlayýcý kulesine karþý korumalýsýn.
GOLDEN_LAND_CHAT_MESSAGE_MINE_TOWER_SKILL_GUARDED	Patlayýcý korumasý seni korudu ve harcandý. Artýk patlayýcý kuleler sana yine zarar verebilir.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_BATTLE_STAGE_START	Bir sonraki kata ýþýnlanacaksýn.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_DUNGEON_REMAIN_TIME_MIN	%d dakika daha Altýn Topraklar’da kalabilirsin.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_END	Primordis keþfi sona erdi.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_START	Primordis keþfi baþladý! Primordis Bekçisi’ni alt et ve Altýn Topraklar’a yolculuk et.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_SHOP	Kervan Tüccarý’ndan eþyalar satýn alabilirsin.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_STAGE_START	Vaha’ya ýþýnlanacaksýn.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_STONE_SPAWN_AFTER_10SEC	Primoridis heykelleri 10 saniye içinde belirecek.
GOLDEN_LAND_CHAT_MESSAGE_NOT_ENOUGH_LEVEL	Seviyen çok düþük olduðu için bu eþyayý kullanamazsýn.
GOLDEN_LAND_CHAT_MESSAGE_RESET_ALREADY_RESET	Bunu zaten sýfýrladýn.
GOLDEN_LAND_CHAT_MESSAGE_RESET_NOT_ENOUGH_ITEM	Primordis yeniden baþlangýcýn yok.
GOLDEN_LAND_CHAT_MESSAGE_RESET_SUCCESS	Giriþlerin ve oyun tahtan baþarýyla sýfýrlandý.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_INVENTORY_SPACE	Envanterinde yeterli alan yok.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_TREE_FRUIT	Yeterince acý dutun yok.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_YELLOW_FRUIT_EXCEED	Daha fazla altýn dut satýn alamazsýn çünkü maksimum sayýyý aþtýn.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED	%d acý dut aldýn.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED_WITH_POSSESS_INFO	%d acý dut aldýn. (%d acý dutun var.)
GOLDEN_LAND_CHAT_MESSAGE_YELLOW_FRUIT_GAINED	%d altýn dut aldýn.
GOLDEN_LAND_FIND_CARD_QUESTION_OPEN_CARD	%d altýn dut karþýlýðýnda bir alan açmak ister misin?
GOLDEN_LAND_FIND_CARD_QUESTION_RESET	Bunu kullanýrsan hem Altýn Topraklar için giriþlerin hem de altýn dut avýndaki oyun tahtasý sýfýrlanýr. Devam etmek istiyor musun?
GOLDEN_LAND_REMAIN_MINE_TOWER_KILL_COUNT	Kalan patlayýcý kuleler: %d
GOLDEN_LAND_REMAIN_STONE_KILL_COUNT	Kalan Primordis heykelleri: %d
GUILDBANK_CLEARBANK	Dikkat: Lonca deposu boþaltýlmýþ olmalý!
GUILDBANK_DONT_MONEY_OUT	Lonca bankasýnda Yang'ýn yok!
GUILDBANK_GOLD_IN	Yatýr
GUILDBANK_GOLD_OUT	Öde
GUILDBANK_ITEM_IN	Depola
GUILDBANK_ITEM_OUT	Dýþ tedarik
GUILDBANK_MONEYIN	Yang yatýr
GUILDBANK_MONEYOUT	Yang öde
GUILDBANK_NOTUSE	Buna yetkin yok.
GUILDBANK_NOT_ENOUGH_MONEY	Ödeme için yeterli Yang'ýn yok.
GUILDBANK_OVER_INCOME	Hesap limiti eriþildi.
GUILDBANK_OVER_MONEY	Lonca hesabý dolu.
GUILDLAND_ABANDON	Lonca deposundan vazgeç
GUILDLAND_ABANDON_TEXT1	Lonca bölgesini býrakmak istiyor musun?
GUILDLAND_ABANDON_TEXT2	Lonca bölgesi býrakmak istediðine emin misin?
GUILDLAND_ABANDON_TEXT3	Lonca deposu ve tüm binalar kaldýrýlacak.
GUILDLAND_ACCEPT	Evet
GUILDLAND_DONTHAVE_LAND	Lonca bölgen yok.
GUILDLAND_NOT	Hayýr
GUILDLIST_APPLICANT	Baþvurmak istiyor musun?
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Yükseklik 12 Pixel deðil
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Genislik 16 Pixel deðil
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Geniþlik 64 Pixel deðil
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Yükseklik 128 Pixel deðil
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Oyun bu resmi desteklemiyor.
GUILDMARK_UPLOADER_ERROR_PATH	Bilgiyi metin2/upload klasörüne taþý.
GUILDMARK_UPLOADER_ERROR_SELECT	Resim dosyasý seçilmedi.
GUILDWAR_ALL	Savaþlar (S)
GUILDWAR_CTF_TITLE	Bayrak Savaþý
GUILDWAR_DRAW	Berabere (B)
GUILDWAR_GAINSCORE_FIFTY	50 puan
GUILDWAR_GAINSCORE_HUNDRED	100 puan
GUILDWAR_GAINSCORE_THIRTY	30 puan
GUILDWAR_GAMETIME_SIXTY	60 dakika
GUILDWAR_GAMETIME_TEN	10 dakika
GUILDWAR_GAMETIME_THIRTY	30 dakika
GUILDWAR_INPUT_OTHERGUILD	Lütfen rakip loncayý ekle.
GUILDWAR_LADDER	Sýralama Puanlarý
GUILDWAR_LIMIT_MEMBER_FIVE	Minimum katýlýmcý sayýsý 5.
GUILDWAR_LOSE	Maðlubiyetler (M)
GUILDWAR_NORMAL_TITLE	Meydan Savaþý
GUILDWAR_OVER_MEMBERCOUNT	Üye sýnýrýna eriþtim.
GUILDWAR_QUESTION_LINE_1	%s loncasý, senin loncana savaþ ilan etti.
GUILDWAR_QUESTION_LINE_2	kabul ediyor musun? (%s)
GUILDWAR_RANKING	Rütbe
GUILDWAR_RECODE_ALL	%d S, %d G, %d M, %d B
GUILDWAR_SELECT_MEMBER_COUNT	Katýlý sayýsýný seç.
GUILDWAR_TYPE_DEFENSE	Kalkan Savaþý
GUILDWAR_TYPE_TIGER	Ýmha Savaþý
GUILDWAR_TYPE_TIME	Zaman Saldýrýsý
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Arena Savaþý
GUILDWAR_WIN	Galibiyetler (G)
GUILDWAR_WIN_FIVE	Beþ tur
GUILDWAR_WIN_ONE	Bir tur
GUILDWAR_WIN_THREE	Üç tur
GUILDWINDOW_BUTTON_BANKGOLDINFO	Lonca deposu geçmiþi
GUILDWINDOW_BUTTON_BASEABANDON	Lonca deposundan vazgeç
GUILDWINDOW_BUTTON_BASEDEAL	Lonca bölgesini sat
GUILDWINDOW_BUTTON_BOARD	Lonca notlarý
GUILDWINDOW_BUTTON_CHANGEMASTER	Lonca liderini deðiþtir
GUILDWINDOW_BUTTON_DECLARE	Savaþ ilaný
GUILDWINDOW_BUTTON_DONATE	Baðýþ
GUILDWINDOW_BUTTON_GOLDIN	Yatýr
GUILDWINDOW_BUTTON_GOLDOUT	Öde
GUILDWINDOW_BUTTON_GRADE	Yönetici Pozisyonu
GUILDWINDOW_BUTTON_GUILDLIST	Lonca listesi
GUILDWINDOW_BUTTON_GUILD_BATTLE	Lonca Savaþý
GUILDWINDOW_BUTTON_GUILD_CONTENTS_LIST	Lonca Savaþý penceresine dön
GUILDWINDOW_BUTTON_HEALGSP	Ejderha gücünü yükle
GUILDWINDOW_BUTTON_INFO	Lonca Bilgisi
GUILDWINDOW_BUTTON_LANDINFO	Bölge bilgileri
GUILDWINDOW_BUTTON_MARK	Lonca simgesini yükle
GUILDWINDOW_BUTTON_MEMBER	Üyeler
GUILDWINDOW_BUTTON_OFFER	EXP baðýþla
GUILDWINDOW_BUTTON_OUTMEMBER	Üyeyi çýkar
GUILDWINDOW_BUTTON_SKILL	Lonca becerileri
GUILDWINDOW_BUTTON_SYMBOL	Lonca bayraðýný yükle
GUILDWINDOW_BUY_GUILD_LAND	Arsa Alýþý
GUILDWINDOW_CHANGE_BLACKSMITH	Mesleði deðiþtir
GUILDWINDOW_CHANGE_OBJECT	Deðiþtir
GUILDWINDOW_CHANGE_SMELTER	Fýrýn Tadilatý
GUILDWINDOW_CREATE_OBJECT	Bina Ýnþasý
GUILDWINDOW_DEAL_GUILD_LAND	Arsa Satýþý
GUILDWINDOW_GRADE_BANK	Lonca bankasý ve lonca deposunu kullanabilir
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Loncadan üyeleri çýkarabilir
GUILDWINDOW_GRADE_GRADENAME	Rütbe ismi
GUILDWINDOW_GRADE_GRADENUMBER	Rütbe numarasý
GUILDWINDOW_GRADE_GUILDWAR	Savaþçý olarak katýlan üyeleri seçebilir.
GUILDWINDOW_GRADE_INVITEAUTHORITY	Loncaya oyuncular alabilir
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Lonca notlarýný asabilir
GUILDWINDOW_GRADE_SKILLAUTHORITY	Lonca becerilerini kullanabilir
GUILDWINDOW_INFO_LEVEL5	Lonca baðýþýna +%5 EXP
GUILDWINDOW_INFO_LEVEL10	Maks. üye sayýsý artýrýr
GUILDWINDOW_INFO_LEVEL15	Ýndirimde: Ejderha Gücü
GUILDWINDOW_INFO_LEVEL20	Banka: Vergi Muafiyeti
GUILDWINDOW_LAND_TAX	Kira
GUILDWINDOW_LIST_ALL	Tüm Krallýklar
GUILDWINDOW_LIST_ALREADY_REGISTER	[Lonca] Zaten baþvurdun.
GUILDWINDOW_LIST_APPLICANT_LIST	Aday listesi
GUILDWINDOW_LIST_CHRACTER_JOB	Sýnýf
GUILDWINDOW_LIST_CHRACTER_LV	Seviye
GUILDWINDOW_LIST_CHRACTER_NAME	Karakter Adý
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Ders
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Üyeler
GUILDWINDOW_LIST_GUILD_LIST	Lonca listesi
GUILDWINDOW_LIST_GUILD_LV	Seviye
GUILDWINDOW_LIST_GUILD_NAME	Lonca
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Lonca] Lütfen bir lonca adý gir.
GUILDWINDOW_LIST_LADDER	Sýralama Puanlarý
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Lonca] Bu loncanýn duyurusu yok.
GUILDWINDOW_LIST_PROMOTE_GUILD	Baþvuru
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Lonca listesi
GUILDWINDOW_LIST_RANKING	Pozisyon
GUILDWINDOW_LIST_RANKING_COUNT	Pozisyon
GUILDWINDOW_LIST_REGISTER	Baþvurular
GUILDWINDOW_LIST_REGISTER_GUILD	Loncaya baþvur
GUILDWINDOW_LIST_SEARCH	Arama
GUILDWINDOW_LIST_SELECT_GUILD	[Lonca] Baþvurmak için lütfen bir lonca seç.
GUILDWINDOW_PROMOTE_REFRESH	Reklam
GUILDWINDOW_PROMOTE_REGISTER	Reklam
GUILDWINDOW_SP_RECOVER	Ejderha Gücü
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Sunak Geniþletmesi
GUILDWINDOW_UPGRADE_GUILDBANK	Banka Geniþletmesi
GUILD_ATTENDANCE_FAIL_ALREADY	Bugün zaten katýldýn.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	Þimdi katýlamazsýn. Katýlým her zaman saat 5:00'da sýfýrlanýr.
GUILD_BANKINFO_CLOSE	Kapat
GUILD_BANKINFO_NAME	Üye
GUILD_BANKINFO_TYPE	Nesne/Para birimi
GUILD_BANKINFO_USETYPE	Eylem
GUILD_BANK_CLOSE	Kapat
GUILD_BANK_INFO	Lonca deposu geçmiþi
GUILD_BATTLE_APPLY_SUCCESS_MESSAGE	Lonca savaþýna baþarýyla kaydoldun.
GUILD_BATTLE_AREA_INFO_TEXT	Kalan süre: %s\nKalan canavarlar (%d/61)\nMavi: (%s) Sarý: (%s) Yeþil: (%s) Kýrmýzý: (%s)
GUILD_BATTLE_AREA_INFO_TEXT_FONT	Tahoma:14b
GUILD_BATTLE_AREA_UNDER_ATTCK_MESSAGE	%s konumundaki canavarlara saldýrýlýyor.
GUILD_BATTLE_CANNOT_APPLY_TIME_MESSAGE	Bu sefer lonca savaþýna katýlamazsýn çünkü tüm slotlar zaten dolu. Bir dahaki sefere tekrar dene!
GUILD_BATTLE_CANNOT_ENTER_JOIN_TIME	Henüz katýlamazsýn. Kalan süre: %d dakika.
GUILD_BATTLE_CANNOT_ENTER_MAP_MESSAGE	Sadece birinci köyden veya Dongan Ovasý'ndan girebilirsin.
GUILD_BATTLE_CANNOT_ENTER_NOT_MATCHING_MESSAGE	Loncan için uygun bir rakip bulunamadý. Bir dahaki sefere tekrar dene.
GUILD_BATTLE_CANNOT_GET_REWARD_NOT_ENOUGH_INEVENTORY	Envanterinde yeterli alan yok.
GUILD_BATTLE_CANNOT_GUILD_ACTION_MESSAGE	
GUILD_BATTLE_CANNOT_PARTICIPATION_MESSAGE	Lonca savaþýna katýlmak için tüm gereksinimleri karþýlamýyorsun.
GUILD_BATTLE_CANNOT_USE_MOVE_TICKET_NOT_OCCUPY_MESSAGE	Bu bölgeye giremezsin çünkü zaten baþka bir lonca tarafýndan fethedildi.
GUILD_BATTLE_CANNOT_USE_PORTAL_NOT_OCCUPY	Bunu ancak bölge loncan tarafýndan fethedildikten sonra kullanabilirsin.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_MASTER	Yalnýzca lonca lideri bunu kullanabilir.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_OPEN	Lonca Savaþý Biletini kullanamazsýn.
GUILD_BATTLE_CAN_NOT_USE_TICKET_MESSAGE	Bu zaten uygulandý ve tekrar kullanýlamaz.
GUILD_BATTLE_CMD_FAIL_IMMEDIATELY_START	Daha en az 2 loncanýn katýlýmýný beklemelisin.
GUILD_BATTLE_DEAD_TO_PLAYER	%s loncasýnýn bir üyesi tarafýndan maðlup edildin.
GUILD_BATTLE_DROP_ITEM_BY_REWARD_BOX_MESSAGE	%s üzerinden %s aldýn.
GUILD_BATTLE_ENCOURAGE_MESSAGE	Lonca savaþý %d dakika sonra baþlýyor. Katýlým için kayýt oldun. Hazýr ol ve elinden gelenin en iyisini yap!
GUILD_BATTLE_END_MESSAGE	Lonca savaþý sona erdi.
GUILD_BATTLE_END_REMAIN_TIME_MESSAGE	Lonca savaþý %d dakika sonra sona erecek.
GUILD_BATTLE_ENTER_AREA_MESSAGE	Þuraya girdin: %s. Tüm canavarlarý alt et!
GUILD_BATTLE_ENTER_BUTTON_TOOLTIP	Gir
GUILD_BATTLE_ENTER_MESSAGE	Birazdan lonca savaþýna kaydolacaksýn.
GUILD_BATTLE_ENTER_OCCUPY_AREA_MESSAGE	Þuraya girdin: %s.
GUILD_BATTLE_ENTER_OUTPOST_BLUE	Mavi takýmdasýn. Lonca savaþý bölgesine gitmek için portalý kullan.
GUILD_BATTLE_ENTER_OUTPOST_GREEN	Yeþil takýmdasýn. Lonca savaþý bölgesine gitmek için portalý kullan.
GUILD_BATTLE_ENTER_OUTPOST_RED	Kýrmýzý takýmdasýn. Lonca savaþý bölgesine gitmek için portalý kullan.
GUILD_BATTLE_ENTER_OUTPOST_YELLOW	Sarý takýmdasýn. Lonca savaþý bölgesine gitmek için portalý kullan.
GUILD_BATTLE_GET_GUILD_REWARD_MESSAGE	Bir lonca ödülü kazandýn. Onu envanterinde bulabilirsin.
GUILD_BATTLE_GET_PERSONAL_REWARD_BUFF_MESSAGE	Bir buff ödülü kazandýn! Daha fazlasýný öðrenmek için buff simgesine bak.
GUILD_BATTLE_GUILD_REWARD_BUTTON_TOOLTIP	Lonca ödülü kazandýn
GUILD_BATTLE_LIST_REMAIN_TIME	Kalan süre: %s
GUILD_BATTLE_MONSTER_KILL_GUILD_MESSAGE	%s, %d canavar yendi.
GUILD_BATTLE_NEED_REWARD_OPEN_KEY_MESSAGE	Bu sandýðý açmak için Galibin Anahtarý yok. Bir anahtar bulmak için canavarlarý yen.
GUILD_BATTLE_NOT_ENOUGH_INEVENTORY_MESSAGE	Envanterinde yer aç ve tekrar dene.
GUILD_BATTLE_NOT_ENOUGH_MOVE_TICKET_MESSAGE	Lonca portalý biletin yok.
GUILD_BATTLE_NOT_ENOUGH_TIME_OF_CREATE_TO_APPLY	Loncan son 24 saat içinde kurulduðu için henüz katýlamazsýn.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE	Bölge fethedildi. Kýsa bir süre sonra bir portal açýlacak ve bu bölgeyi savunmak için canavarlar belirecek.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE_IN_OUTPOST	%s fethedildi. Kýsa bir süre sonra bir portal açýlacak ve bu bölgeyi savunmak için canavarlar belirecek.
GUILD_BATTLE_OCCUPY_AREA_OTHERS_GUILD_MESSAGE	Bu bölge zaten baþka bir lonca tarafýndan fethedildi. Birazdan Lonca Karakolu'na geri ýþýnlanacaksýn.
GUILD_BATTLE_ONGOING	Savaþ devam ediyor.
GUILD_BATTLE_OPEN_REWARD_BOX	Þunu açmak istiyor musun: %s?
GUILD_BATTLE_OTHER_GUILD_ONGOING	Diðer loncalar zaten savaþýyor.
GUILD_BATTLE_OUTPOST_REMAIN_TIME	Kalan süre: %s
GUILD_BATTLE_OUTPOST_REMAIN_TIME_FONT	Tahoma:14b
GUILD_BATTLE_PAGE_ENTER_REQUIRMENTS	Kalifiye misin?
GUILD_BATTLE_PAGE_START_REMAIN_TIME	Savaþýn baþlamasýna: %s
GUILD_BATTLE_PERSONAL_BUFF	Ödül buffý
GUILD_BATTLE_PERSONAL_REWARD_BUTTON_TOOLTIP	Ödül buffý kazandýn
GUILD_BATTLE_PK_GUILD_MESSAGE	%s, diðer loncalardan %d oyuncu yendi.
GUILD_BATTLE_PLAYER_KILL	%s loncasýnýn bir üyesini yendin.
GUILD_BATTLE_QUALIFICATION	Katýlmak için ejderha kralýný yen\nveya bir lonca savaþý bileti kullan.
GUILD_BATTLE_RELOAD_BUTTON_COOLTIME_MESSAGE	Lütfen tekrar dene.
GUILD_BATTLE_RESULT_BOARD_REMAIN_TIME_MESSAGE	%s sonra ýþýnlanacaksýn.
GUILD_BATTLE_REVIVE_USE_SCROLL_MESSAGE	Lonca diriltmesiyle dirildin.
GUILD_BATTLE_START_MESSAGE	Lonca savaþý baþladý! Lonca Savaþý menüsünde "Giriþ"e týklayarak bu zorlu mücadeleye göðüs ger!
GUILD_BATTLE_STATUS_BOARD_PK	OK devirmeleri: %d
GUILD_BATTLE_STATUS_BOARD_REMAIN_MONSTER_COUNT	%s: %d / %d
GUILD_BATTLE_TEAM_NAME_BLUE	Mavi
GUILD_BATTLE_TEAM_NAME_GREEN	Yeþil
GUILD_BATTLE_TEAM_NAME_RED	Kýrmýzý
GUILD_BATTLE_TEAM_NAME_YELLOW	Sarý
GUILD_BATTLE_USE_MOVE_TICKET_MESSAGE	Lonca portalý biletini kullandýn ve kýsa süre içinde %s konumuna ýþýnlanacaksýn.
GUILD_BATTLE_USE_SCROLL	Lonca savaþýna katýlmak istiyor musun?
GUILD_BATTLE_USE_TICKET_CANCEL_MESSAGE	Lonca savaþý kaydýn iptal edildi.
GUILD_BOARD_ID	Üye
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_FIX_CHANGE	Posizyonu gerçekten deðiþtirmek istiyor musun?
GUILD_BUILDING_FIX_CHANGE_GOLD	Ücret: 1.000.000 Yang
GUILD_BUILDING_FIX_DELETE	Bu nesneyi gerçekten silmek istiyor musun?
GUILD_BUILDING_FIX_NEED_BUILDING	Bina yok.
GUILD_BUILDING_GRADE	Sýralama
GUILD_BUILDING_LOG_PLUS	Gövde+
GUILD_BUILDING_NAME	Binanin ismi
GUILD_BUILDING_PLY_PLUS	Kontrplak+
GUILD_BUILDING_SMELT_STONE	Runik taþý
GUILD_BUILDING_STONE_PLUS	Temel taþý+
GUILD_CANNOT_HEAL_GSP_ANYMORE	Ejderha Hayaleti Enerjisi tamamen yüklenmiþ durumda.
GUILD_CHANGEMASTER_TEXT1	Yeni lider: %s
GUILD_CHANGEMASTER_TEXT2	Yeni bir lonca lideri belirlemek ister misin?
GUILD_CHANGEMASTER_TEXT3	Lonca lideri pozisyonunu
GUILD_CHANGEMASTER_TEXT4	devretmek istediðine emin misin?
GUILD_COMMENT	Yaz
GUILD_CONTENTS_ONGOING	Savaþ devam ediyor.
GUILD_CREATE_ERROR_INSULT_NAME	Lonca adý hatalý
GUILD_DEFAULT_GRADE	Lonca üyeleri
GUILD_DELETE	Sil
GUILD_DEPOSIT	Depozit
GUILD_DISBAND_OR_LEAVE_OR_OUT_FAIL_MESSAGE	Þu anda savaþta olduðun için loncadan ayrýlamazsýn.
GUILD_DISBAND_SUCCESS_MESSAGE	Lonca feshedildi.
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	Yeterince büyük baðýþ belgesine sahip deðilsin.
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	Envanterin dolu. Baðýþ yapamazsýn.
GUILD_DONATE_FAIL_NOT_ENOUGH_LEVEL	Baðýþ yapmak için minimum seviyen 30 olmalý.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	Yeterince orta baðýþ belgesine sahip deðilsin.
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	Yetersiz Yang.
GUILD_DONATE_FAIL_TIME	Loncaya katýldýktan sonraki 24 saat boyunca baðýþ yapamazsýn.
GUILD_DONATE_QUESTION_HIGH	Bir büyük baðýþ yapmak istiyor musun?
GUILD_DONATE_QUESTION_MIDDLE	Bir orta baðýþ yapmak istiyor musun?
GUILD_DONATE_QUESTION_NORMAL	Bir küçük baðýþ yapmak istiyor musun?
GUILD_DO_YOU_HEAL_GSP	%d Yang kullanarak %d Ejderha Hayaleti yüklemek ister misin?
GUILD_DO_YOU_JOIN	 seni davet ediyor. Loncaya katýlmak istiyor musun?
GUILD_DRAGONLAIR_MIN	Min.
GUILD_DRAGONLAIR_PARTY_ALL	Genel en iyiler listesi
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	11. sýradan itibaren: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Yardým
GUILD_DRAGONLAIR_PARTY_LINE_ONE	1. sýra: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	4. - 10. sýra: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	2. - 3. sýra: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Üyeler
GUILD_DRAGONLAIR_PARTY_NOW	Haftanýn en iyiler listesi
GUILD_DRAGONLAIR_PARTY_PAST	Önceki en iyiler listesi
GUILD_DRAGONLAIR_PARTY_TIME	Zaman
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Ödül
GUILD_DRAGONLAIR_RANKING_FAIL	BAÞARISIZ
